community_rank,author
5,Annalina Caputo
5,Francesca A. Lisi
5,Nicola Fanizzi
5,Marenglen Biba
5,Nicola Di Mauro
5,Eleonora Bernasconi
5,Domenico Redavid
5,Pierluigi Cassotti
5,Davide Di Pierro
5,Claudia d'Amato
5,Marco Polignano
5,Corrado Loglisci
5,Fiorella de Rosis
5,Andrea Pazienza
5,Antonio Vergari
6,Ximeng Liu
6,Feng Xia 0001
6,Xiangjie Kong 0001
6,Shengshan Hu
6,Kui Ren 0001
6,Qian Liu
6,Wei Wang 0077
6,Yang Yang 0026
6,Xiaofeng Chen 0001
6,Jinbo Xiong
6,Minghui Li
6,Shengli Liu 0001
6,Zhibo Wang 0001
6,Qian Wang 0002
6,Jin Li 0002
6,Fangguo Zhang
6,Jingwei Li 0001
6,Honglong Chen
6,Jian Weng 0001
6,Haifeng Liu
6,Zhiguo Gong
6,Zheli Liu
6,Wei Wan
6,Haibo Tian
6,Shuo Yu 0001
6,Yechao Zhang
6,Guojiang Shen
6,Qi Li 0011
6,Mingliang Hou
6,Xiaoyi Pang
7,Philippe Fournier-Viger
7,Wensheng Gan
7,Vincent S. Tseng
7,Jerry Chun-Wei Lin
7,Youcef Djenouri
7,Yu-Chuan Tsai
7,Tzung-Pei Hong
7,Jiahui Chen 0002
7,Chien-Ming Chen 0001
7,Shicheng Wan
7,Shyue-Liang Wang
7,Usef Faghihi
7,Gautam Srivastava 0001
7,Yeong-Chyi Lee
7,Yuh-Min Tseng
7,Hung-Min Sun
7,Ja-Hwung Su
7,Wen-Yang Lin
7,Chun-Wei Lin 0001
7,Asma Belhadi
7,Guo-Cheng Lan
7,Jimmy Ming-Tai Wu
7,Tung-Tso Tsai
7,Chun-Hao Chen
7,Jui-Di Wu
7,Tsu-Yang Wu
7,Ming-Cheng Tseng
8,Emil Bjrnson
8,Luca Sanguinetti
8,Emanuele Grossi
8,George C. Alexandropoulos
8,Marco Di Renzo
8,Petar Popovski
8,Luca Venturino
8,Cedomir Stefanovic
8,Elisabeth de Carvalho
8,Henk Wymeersch
8,Stefano Buzzi
8,Alessio Zappone
8,Michele Morelli
8,Jimmy Jessen Nielsen
8,Nikolaos Pappas 0001
8,Nuno K. Pratas
8,Konstantinos D. Katsanos
8,Aris L. Moustakas
8,Marios Kountouris
8,Musa Furkan Keskin
8,Zheng Chen 0002
8,Antonio A. D'Amico
8,Carmen D'Andrea
8,Wei Lu 0012
8,Athanasios Stavridis 0001
8,Kasper F. Trillingsgaard
9,Jing Han 0010
9,Martin Wllmer
9,Florian Eyben
9,Bjrn W. Schuller
9,Yue Zhang 0014
9,Anton Batliner
9,Zhao Ren
9,Andreas Triantafyllopoulos
9,Alice Baird
9,Panagiotis Tzirakis
9,Alexander Kathan
9,Jun Deng
9,Xinzhou Xu
9,Nicholas Cummins
9,Shahin Amiriparian
9,Kun Qian 0003
9,Zixing Zhang 0001
9,Dejan Arsic
9,Felix Burkhardt
9,Maurice Gerczuk
9,Shuo Liu 0012
9,Felix Weninger
9,Lukas Christ
10,Rafael H. Bordini
10,Marco Mamei
10,Sara Montagna
10,Mirko Viroli
10,Enrico Denti
10,Alessandro Ricci
10,Giorgio Audrito
10,Danilo Pianini
10,Ferruccio Damiani
10,Roberto Casadei
10,Franco Zambonelli
10,Matteo Casadei
10,Andrea Omicini
10,Gianluca Aguzzi
10,Michael Lienhardt
10,Jacob Beal
10,Michele Piunti
10,Olivier Boissier
10,Jomi Fred Hbner
10,Angelo Croatti
10,Andrea Santi
